	TCGA.3Z.A93Z	TCGA.6D.AA2E	TCGA.A3.3358	TCGA.A3.3387	TCGA.A3.A6NI	TCGA.A3.A6NJ	TCGA.A3.A6NL	TCGA.A3.A6NN	TCGA.A3.A8CQ	TCGA.A3.A8OU	TCGA.A3.A8OV	TCGA.A3.A8OW	TCGA.A3.A8OX	TCGA.AK.3440	TCGA.AK.3458	TCGA.B0.4698	TCGA.B0.4700	TCGA.B0.4706	TCGA.B0.4710	TCGA.B0.4712	TCGA.B0.4810	TCGA.B0.4811	TCGA.B0.4815	TCGA.B0.4816	TCGA.B0.4818	TCGA.B0.4821	TCGA.B0.4852	TCGA.B0.5080	TCGA.B0.5399	TCGA.B0.5400	TCGA.B0.5402	TCGA.B0.5690	TCGA.B0.5691	TCGA.B0.5692	TCGA.B0.5693	TCGA.B0.5694	TCGA.B0.5695	TCGA.B0.5696	TCGA.B0.5697	TCGA.B0.5698	TCGA.B0.5699	TCGA.B0.5700	TCGA.B0.5701	TCGA.B0.5702	TCGA.B0.5703	TCGA.B0.5705	TCGA.B0.5706	TCGA.B0.5707	TCGA.B0.5709	TCGA.B0.5710	TCGA.B0.5711	TCGA.B0.5712	TCGA.B0.5713	TCGA.B0.5812	TCGA.B2.3924	TCGA.B2.5633	TCGA.B2.5635	TCGA.B2.5636	TCGA.B2.5639	TCGA.B2.5641	TCGA.B2.A4SR	TCGA.B4.5377	TCGA.B4.5378	TCGA.B4.5832	TCGA.B4.5834	TCGA.B4.5835	TCGA.B4.5836	TCGA.B4.5838	TCGA.B4.5843	TCGA.B4.5844	TCGA.B8.4146	TCGA.B8.4153	TCGA.B8.4621	TCGA.B8.4622	TCGA.B8.5545	TCGA.B8.5546	TCGA.B8.5549	TCGA.B8.5550	TCGA.B8.5551	TCGA.B8.5552	TCGA.B8.5553	TCGA.B8.A54D	TCGA.B8.A54E	TCGA.B8.A54F	TCGA.B8.A54G	TCGA.B8.A54H	TCGA.B8.A54I	TCGA.B8.A54J	TCGA.B8.A54K	TCGA.B8.A7U6	TCGA.B8.A8YJ	TCGA.BP.4770	TCGA.CJ.5671	TCGA.CJ.5672	TCGA.CJ.5675	TCGA.CJ.5676	TCGA.CJ.5677	TCGA.CJ.5678	TCGA.CJ.5679	TCGA.CJ.5680	TCGA.CJ.5681	TCGA.CJ.5682	TCGA.CJ.5683	TCGA.CJ.5684	TCGA.CJ.5686	TCGA.CJ.5689	TCGA.CJ.6027	TCGA.CJ.6028	TCGA.CJ.6030	TCGA.CJ.6031	TCGA.CJ.6032	TCGA.CJ.6033	TCGA.CW.5580	TCGA.CW.5581	TCGA.CW.5583	TCGA.CW.5584	TCGA.CW.5585	TCGA.CW.5587	TCGA.CW.5588	TCGA.CW.5589	TCGA.CW.5590	TCGA.CW.5591	TCGA.CW.6087	TCGA.CW.6088	TCGA.CW.6090	TCGA.CW.6093	TCGA.CW.6097	TCGA.CZ.4863	TCGA.CZ.4864	TCGA.CZ.4865	TCGA.CZ.4866	TCGA.CZ.5451	TCGA.CZ.5452	TCGA.CZ.5453	TCGA.CZ.5454	TCGA.CZ.5455	TCGA.CZ.5456	TCGA.CZ.5457	TCGA.CZ.5458	TCGA.CZ.5459	TCGA.CZ.5460	TCGA.CZ.5461	TCGA.CZ.5462	TCGA.CZ.5463	TCGA.CZ.5464	TCGA.CZ.5465	TCGA.CZ.5466	TCGA.CZ.5467	TCGA.CZ.5468	TCGA.CZ.5469	TCGA.CZ.5470	TCGA.CZ.5982	TCGA.CZ.5984	TCGA.CZ.5985	TCGA.CZ.5986	TCGA.CZ.5987	TCGA.CZ.5988	TCGA.CZ.5989	TCGA.DV.5565	TCGA.DV.5566	TCGA.DV.5567	TCGA.DV.5568	TCGA.DV.5569	TCGA.DV.5573	TCGA.DV.5574	TCGA.DV.5575	TCGA.DV.5576	TCGA.DV.A4VX	TCGA.DV.A4VZ	TCGA.DV.A4W0	TCGA.EU.5904	TCGA.EU.5905	TCGA.EU.5906	TCGA.EU.5907	TCGA.G6.A5PC	TCGA.G6.A8L6	TCGA.G6.A8L7	TCGA.G6.A8L8	TCGA.GK.A6C7	TCGA.MM.A563	TCGA.MM.A564	TCGA.MM.A84U	TCGA.MW.A4EC	TCGA.T7.A92I
?|652919	-1.250709102	-1.250709102	-1.250709102	0.246821243	-0.691555633	-1.250709102	1.140725891	1.057819581	0.792658895	-1.250709102	-1.250709102	1.050207234	0.890249525	1.251102694	-1.250709102	0.619943133	0.403994625	-0.53131368	1.126845238	0.954308509	-1.250709102	-1.250709102	0.622758038	-0.189110619	0.720129644	-1.250709102	-1.250709102	-1.250709102	0.586987971	-1.250709102	0.942297897	1.113845196	1.464792409	0.374355077	0.967651753	0.888612484	0.30405426	-1.250709102	0.981207807	-0.520246277	0.001407936	-1.250709102	0.568307343	-1.250709102	0.975246946	1.028448091	-1.250709102	-1.250709102	0.114309643	0.128018515	1.477720723	-1.250709102	0.918960012	-1.250709102	0.604518404	1.31990571	0.614423929	1.637249203	-0.570713367	-1.250709102	-1.250709102	1.46383215	1.436592806	0.534609234	1.070705772	-1.250709102	0.188849156	0.03748472	-1.250709102	-1.250709102	0.697280826	-1.250709102	0.106669561	0.050990891	1.193138197	-1.250709102	0.812589542	0.931096422	-0.364044148	-1.250709102	0.555591146	0.740968303	-1.250709102	-1.250709102	0.09097648	0.492976111	-0.625585952	-1.250709102	0.596531711	0.719068784	0.901134432	0.0925387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF|29974	0.26719093	-0.209657464	1.234118391	1.447581013	0.459252737	0.535092531	0.473470705	-0.203114619	0.774957496	0.411944516	0.55066095	0.781453844	0.636950381	-2.285209077	-0.235094726	-2.136288155	0.975835499	-0.116461924	0.887311407	-2.041165197	-0.053635144	-0.099887262	0.541435569	-0.436102127	0.417568479	-0.224315885	0.827978682	-2.285209077	0.723391583	0.01903741	0.429253583	0.684497308	0.772881149	0.629722245	0.589712085	0.442738229	0.675336018	0.958458519	0.896093248	0.549952764	0.917985233	0.435862751	-0.012751616	-1.355551761	-0.171388859	0.241723415	-0.565907465	-0.898481566	0.839154884	0.239141949	0.553569069	-0.619714228	0.887019272	0.480104174	0.894689107	0.849795589	0.388957728	0.949113826	1.228746757	-1.361476194	0.542253276	1.458667927	-1.423279254	-0.216559537	0.585283066	-0.11433731	1.044767748	0.262665053	0.411749448	0.925483318	1.18406233	0.252930767	-0.531022185	1.043628023	0.486753915	-1.201461074	-1.312907453	-0.743782217	-0.610375968	-2.285209077	0.922813491	-0.091532849	0.059823382	0.237968855	-0.654398474	0.641782465	-0.056981494	0.086663714	-1.928812778	-0.171000178	-0.414445987	-2.285209077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2BP1|54715	-0.09733058	-0.941536519	0.889260522	0.78099063	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.669532789	-0.941536519	-0.941536519	-0.941536519	1.497393319	3.270424372	0.037808457	-0.421582742	0.923776681	-0.941536519	-0.941536519	0.921889666	-0.706204586	-0.941536519	-0.692020962	0.176068279	-0.941536519	-0.43579692	-0.941536519	-0.487257912	-0.941536519	-0.620165884	1.099551411	1.403620647	0.948529309	-0.941536519	-0.941536519	0.842921901	-0.561500132	1.314742119	1.739986618	-0.941536519	1.475251422	-0.941536519	1.052169784	1.489998822	1.296371894	1.330179259	1.334139484	-0.404560545	1.02384545	-0.941536519	1.803214698	0.506723363	-0.941536519	-0.941536519	-0.196673991	-0.941536519	-0.941536519	1.065548182	-0.233168967	0.954184687	-0.681359268	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.563434038	-0.941536519	-0.655368078	-0.941536519	-0.941536519	-0.658046795	-0.354232965	1.421971544	0.583637648	-0.236753782	1.715417446	1.470610354	-0.941536519	-0.641231575	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.555431425	-0.941536519	-0.941536519	-0.941536519	-0.941536519	-0.941536519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT|18	-0.661246075	-0.205149594	1.975801993	2.148498259	-1.137766438	0.181248055	-0.920726424	-0.146375472	-0.269227013	-0.486181261	-0.272438611	-0.418155922	-0.367751302	-0.513180354	-0.120896919	-1.970459046	1.534671372	-0.771648199	-1.169563323	-0.423131497	-1.213901043	-0.559216351	-0.8425869	-0.73598149	-0.384137377	-1.388403905	-0.673661845	-1.203831599	-0.399176516	-0.480241503	0.995889841	1.595803897	1.82518823	-0.204099079	-0.503237587	1.148365409	0.256498432	2.097785604	1.514778331	-0.114925239	1.634520016	0.217975057	0.866898155	-1.914356138	0.391416035	0.901790059	0.554693665	0.430958845	1.763092045	-0.590635735	1.41771935	0.210054526	0.108778449	-0.625538793	0.052067326	-0.626105115	-0.355004018	1.811879145	0.305607458	-0.592449802	-0.545022081	0.61816225	-1.140525885	-0.398570998	-0.884382803	-0.179515175	-0.765016167	0.019885644	-0.206568365	-0.523413514	-0.337208236	-0.986467233	1.052270329	1.392494801	-0.231351503	-0.089204492	-0.428329845	-0.304717614	-0.778429233	-0.270622023	-0.498322717	-0.214939517	1.349578297	-1.097851871	-0.130404871	0.334098903	-0.847930771	-0.047973316	-1.295469166	-0.789363142	-0.891818186	-1.891732285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12|26154	0.044339807	-0.060420425	-1.642193412	-0.827566963	0.666707347	-0.199177404	-0.558654923	0.871069255	-1.193346766	0.506816961	0.555379796	0.763399898	0.727240244	-1.719665554	1.100432957	-2.046690422	-1.170521148	0.569114371	0.191118131	-0.193183234	0.547394332	0.999701064	1.422983082	0.465583293	0.364464866	-0.132797347	0.297638387	-0.091307992	0.736280793	1.032564287	-0.323232081	-1.474531167	-0.636518357	0.27219105	1.12533679	0.307943338	-0.405147258	-1.070976274	-1.132006042	0.726751873	-1.221085391	0.363663484	-0.771851688	-0.525358351	-0.641999213	-0.46179401	-1.693807428	1.251436222	-0.845997951	1.223330039	-0.799612312	-0.43512484	-0.307538297	0.820903612	0.45062946	0.416936713	-0.066248635	-0.365848133	1.349426025	-0.813604252	0.836348935	0.232378558	-0.495740218	1.863986009	0.299869452	1.899104502	0.924977494	1.269390303	1.107268263	0.374966214	0.319668688	0.236923962	1.717886355	-0.077063948	0.780119508	1.437869676	-1.546258181	1.635960999	0.850245546	0.620412658	-0.14846019	0.412817556	1.756140301	0.973410668	-0.598272906	0.169668332	0.979193359	0.149239134	-0.863819212	0.77918126	-0.36326994	-1.59814532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13|154664	-0.545678449	-1.139593739	1.017119995	0.10243633	-0.163833986	-0.950712939	-1.139593739	-0.820571634	-0.692325581	0.171503841	-0.937446183	-0.705216594	0.403027605	-1.139593739	-0.559755439	0.051480674	-0.01347965	-0.024276865	-0.006137128	1.477007947	-0.512214341	-0.503550221	-0.830542911	-0.989792596	-1.139593739	-0.783796099	0.062864199	-0.53857792	-1.139593739	-0.628033566	0.096832593	1.405933602	0.661966776	-0.946123235	-0.614510921	-0.620641484	-0.774849672	0.523600186	-0.04165705	-1.139593739	0.715269057	-0.884702905	1.686340202	0.130007291	1.237105266	1.284656149	1.681712052	1.526731758	-0.144778351	-1.139593739	1.735976969	0.487004655	-1.139593739	-0.670041999	-0.956392035	-0.534154292	-0.812150211	0.075065729	-0.070405672	2.129724687	-0.708225972	-0.909318571	-0.20240701	-1.139593739	-0.988076638	0.608183644	-0.1670077	-0.673503445	-0.002716095	-1.139593739	-0.67701098	-0.596489833	-0.594978446	0.204033364	-0.732764427	0.768336838	1.935709239	-0.742938183	1.338864227	2.153771865	-0.627222408	-1.139593739	-1.139593739	-0.117092808	-0.920522506	-1.139593739	0.099175831	-0.714109548	0.454238316	-0.597108333	-0.763196132	0.102994251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4|24	-0.344116073	-0.951193891	1.051258874	-0.001186254	-0.990598539	-0.840601025	-0.253475164	-0.690514367	-0.356352798	-0.771767923	-1.083752296	-0.660919791	-0.168341239	-1.449408306	-0.805987694	-1.185962306	0.040098855	0.03423128	-0.646766359	2.095204489	-0.323824862	-0.613022284	-0.706853861	-0.363604368	-0.711489348	-0.411863572	-0.687766712	-0.112113382	-1.363429569	-0.586429879	0.296414502	1.227888148	0.217550238	-1.335600675	-0.620978081	0.267862081	-0.581093959	0.531482041	0.197161146	-1.163295915	0.208754839	-0.667313068	1.082655281	0.276772411	0.990922967	1.458278	0.919888081	-1.051410357	0.410640054	-0.615188602	1.094232797	0.439084028	-0.553367874	-0.853219731	-0.888681263	-0.549836607	-0.917236608	0.274121284	-1.204591003	2.06274511	-0.515302397	-1.104214331	0.953041035	-1.363908087	-0.620759253	-0.854009802	-0.560550073	-0.886501774	-0.865448667	-0.438018615	-1.609394125	-1.010528268	-1.113639322	-0.112371127	-0.450512856	0.329816175	1.808516034	-0.822154838	-0.219162554	1.56827043	-1.024143443	-1.100856537	-0.72726864	-0.847427375	-1.303814692	-0.413354836	-1.609394125	-0.630541717	0.753323438	-0.144092623	-0.190172275	0.076095928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6|23460	-0.28382414	-0.213826231	0.905103826	0.847471115	-0.272349726	0.531028394	-0.954171264	0.268936727	-0.640686882	-0.148952073	-1.44277559	-1.162361262	0.584828183	-0.784605386	-0.269786806	-0.165411462	1.455178678	-1.183886775	-0.035397585	-1.405656387	-0.186164195	0.016143532	0.156839396	-0.99843852	-1.198374721	-0.352609194	-0.037783199	0.914852287	0.32897799	0.659862259	1.198385089	-0.350573162	1.60446566	-1.123036974	-0.512775466	1.550572607	-1.037410269	0.340841403	0.774832554	-3.020499875	0.862217503	-1.24803695	1.531945569	-0.534354353	0.095522861	0.699401322	-0.405596765	-0.613446342	1.134736504	-1.431232871	0.752204718	1.351507258	-1.549135442	-0.426134615	-1.01466741	1.18006883	0.756401858	1.341689743	-1.829999598	0.212158904	-1.616189089	-0.513825119	-0.876112915	1.870061017	-1.295428931	-0.421122571	-0.590421583	0.191587274	-0.3212238	-1.861942023	-1.409684881	-1.631527295	-0.397201575	1.240205102	0.135444169	-1.218873156	0.537164887	-0.545709142	-1.077161835	1.123414318	2.638443495	-0.338879196	1.844660463	0.325646019	-1.871009195	-0.768056356	1.040247485	-0.709430952	-1.187062328	-0.654202568	0.966646919	0.650258241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8|10351	0.129876217	0.644185201	1.000135743	1.253650241	-0.411972994	0.948817113	0.383347148	0.015652152	0.625390624	0.281461925	-0.509800153	0.047252	1.388002898	-0.366917891	-0.315680752	-1.703635966	1.806070253	-0.546737264	-0.100812198	-1.244535107	-0.535975541	-0.75140427	-1.090583546	-0.334822267	-0.460969938	-2.177341799	-0.296780742	0.540832663	0.057397898	-1.219582254	1.208529963	0.230857026	1.817947566	-1.406413958	0.496742545	1.799418547	-0.151026758	0.946954596	1.092382875	-1.305567064	1.490390166	-0.651451967	1.216940359	0.435034475	0.345950124	1.075597037	-0.166987725	-0.046901425	1.465057526	-0.930245171	1.048486886	1.72770798	-0.816992491	0.867598024	-0.355671617	-0.521811231	-1.05006553	1.367031356	-1.690419663	-0.070157076	-0.8450965	0.062275541	0.371476727	0.079962263	0.077429325	0.619906251	0.263821589	-0.68970854	0.380647808	-0.59954992	-0.438115044	-1.158858312	-0.22430231	1.372681551	0.184577657	-0.469983632	-0.24711045	-0.584760072	-2.104863023	0.656486371	-1.194919258	-1.675304702	1.910108581	-0.611540925	-1.57964146	-0.199406937	-1.463386464	0.30750699	-0.593062211	0.514076391	0.898258273	-2.034997469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1|5243	-0.106525971	-0.206583686	0.804454877	0.852312358	0.047627885	0.136230171	-0.682997087	0.107099591	-0.30555101	-1.119204586	-0.265931422	0.038508033	-0.036737344	-4.307106541	-0.281375708	-1.70195714	0.415390206	-0.271187789	-1.447980886	0.77091025	-1.794257258	-0.363057859	-0.805245318	-0.181217937	-0.168800999	-1.059203926	0.048534098	-0.85244266	0.137443141	-1.9673555	0.893206946	0.888006822	1.102346679	-1.12059221	-0.780880318	0.800416387	0.066787272	0.931186659	0.733618079	-0.627730919	0.730961733	0.14112737	0.927180267	-1.044019151	1.131318902	0.915662527	0.620827175	0.927458697	0.931052174	-0.155932215	0.782808209	0.99251052	-0.444169687	-0.087193486	0.002679945	0.231982485	-0.34252396	0.946000112	1.067153917	0.813728203	-0.560399684	0.783757478	-1.870644589	0.830051125	-1.937592807	0.831902706	-0.070662132	-0.93803032	-0.208788118	-0.693564424	0.496160879	-0.084919638	2.124453086	1.083526118	-0.048109203	0.219495615	0.735699959	0.29805557	-0.980552781	0.418568694	0.459616904	-0.234207634	-0.937537434	-0.688026788	-0.741424737	0.143435883	-0.629582508	-0.456191688	-3.012378086	-0.725371809	-0.74494975	-2.553042379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
