	TCGA.02.0001	TCGA.02.0003	TCGA.02.0007	TCGA.02.0009	TCGA.02.0010	TCGA.02.0011	TCGA.02.0014	TCGA.02.0021	TCGA.02.0024	TCGA.02.0027	TCGA.02.0028	TCGA.02.0033	TCGA.02.0034	TCGA.02.0038	TCGA.02.0043	TCGA.02.0047	TCGA.02.0052	TCGA.02.0054	TCGA.02.0057	TCGA.02.0058	TCGA.02.0060	TCGA.02.0064	TCGA.02.0069	TCGA.02.0071	TCGA.02.0074	TCGA.02.0075	TCGA.02.0080	TCGA.02.0083	TCGA.02.0085	TCGA.02.0086	TCGA.02.0089	TCGA.02.0099	TCGA.02.0102	TCGA.02.0107	TCGA.02.0113	TCGA.02.0114	TCGA.02.0115	TCGA.02.0116	TCGA.02.2466	TCGA.02.2470	TCGA.02.2483	TCGA.02.2485	TCGA.02.2486	TCGA.06.0122	TCGA.06.0124	TCGA.06.0125	TCGA.06.0126	TCGA.06.0128	TCGA.06.0129	TCGA.06.0130	TCGA.06.0133	TCGA.06.0137	TCGA.06.0139	TCGA.06.0140	TCGA.06.0141	TCGA.06.0142	TCGA.06.0143	TCGA.06.0145	TCGA.06.0147	TCGA.06.0155	TCGA.06.0169	TCGA.06.0875	TCGA.06.0876	TCGA.06.0877	TCGA.06.0878	TCGA.06.0879	TCGA.06.0881	TCGA.06.0882	TCGA.06.0939	TCGA.06.1084	TCGA.06.1086	TCGA.06.1087	TCGA.06.1800	TCGA.06.1801	TCGA.06.1802	TCGA.06.1805	TCGA.06.2557	TCGA.06.2558	TCGA.06.2559	TCGA.06.2561	TCGA.06.2562	TCGA.06.2563	TCGA.06.2564	TCGA.06.2565	TCGA.06.2566	TCGA.06.2567	TCGA.06.2569	TCGA.06.2570	TCGA.12.0670	TCGA.12.0820	TCGA.12.0821	TCGA.12.0822	TCGA.12.0826	TCGA.12.0827	TCGA.12.0828	TCGA.12.0829	TCGA.12.1088	TCGA.12.1089	TCGA.12.1090	TCGA.12.1091	TCGA.12.1092	TCGA.12.1093	TCGA.12.1094	TCGA.12.1095	TCGA.12.1096	TCGA.12.1097	TCGA.12.1098	TCGA.12.1099	TCGA.12.1597	TCGA.12.1598	TCGA.12.1599	TCGA.12.1600	TCGA.12.1602	TCGA.12.3644	TCGA.12.3646	TCGA.12.3648	TCGA.12.3649	TCGA.12.3650	TCGA.12.3651	TCGA.12.3652	TCGA.12.3653	TCGA.14.0736	TCGA.14.0783	TCGA.14.0786	TCGA.14.0787	TCGA.14.0789	TCGA.14.0790	TCGA.14.0812	TCGA.14.0813	TCGA.14.0817	TCGA.14.0865	TCGA.14.0866	TCGA.14.0867	TCGA.14.0871	TCGA.14.1034	TCGA.14.1037	TCGA.14.1396	TCGA.14.1401	TCGA.14.1402	TCGA.14.1451	TCGA.14.1452	TCGA.14.1453	TCGA.14.1454	TCGA.14.1455	TCGA.14.1456	TCGA.14.1458	TCGA.14.1459	TCGA.14.1794	TCGA.14.1795	TCGA.14.1821	TCGA.14.1823	TCGA.14.1825	TCGA.14.1827	TCGA.14.1829	TCGA.14.2554	TCGA.14.2555	TCGA.14.3476	TCGA.14.3477	TCGA.14.4157	TCGA.15.1446	TCGA.15.1447	TCGA.15.1449	TCGA.16.0846	TCGA.16.0848	TCGA.16.0849	TCGA.16.0850	TCGA.16.0861	TCGA.16.1045	TCGA.16.1047	TCGA.16.1048	TCGA.16.1055	TCGA.16.1056	TCGA.16.1060	TCGA.16.1062	TCGA.16.1063	TCGA.16.1460	TCGA.19.0955	TCGA.19.0957	TCGA.19.0960	TCGA.19.0962	TCGA.19.0963	TCGA.19.0964	TCGA.19.1385	TCGA.19.1386	TCGA.19.1387	TCGA.19.1388	TCGA.19.1389	TCGA.19.1390	TCGA.19.1392	TCGA.19.1786	TCGA.19.1787	TCGA.19.1788	TCGA.19.1789	TCGA.19.1790	TCGA.19.1791	TCGA.19.2619	TCGA.19.2620	TCGA.19.2621	TCGA.19.2623	TCGA.19.2624	TCGA.19.2625	TCGA.19.2629	TCGA.19.2631	TCGA.19.4068	TCGA.26.1438	TCGA.26.1439	TCGA.26.1440	TCGA.26.1443	TCGA.26.1799	TCGA.27.1830	TCGA.27.1831	TCGA.27.1832	TCGA.27.1833	TCGA.27.1834	TCGA.27.1835	TCGA.27.1836	TCGA.27.1837	TCGA.27.1838	TCGA.27.2518	TCGA.27.2519	TCGA.27.2521	TCGA.27.2523	TCGA.27.2524	TCGA.27.2526	TCGA.27.2527	TCGA.27.2528	TCGA.28.1745	TCGA.28.1746	TCGA.28.1747	TCGA.28.1749	TCGA.28.1750	TCGA.28.1751	TCGA.28.1752	TCGA.28.1753	TCGA.28.1755	TCGA.28.1756	TCGA.28.1757	TCGA.28.1760	TCGA.28.2502	TCGA.28.2506	TCGA.28.2509	TCGA.28.2513	TCGA.28.2514	TCGA.32.1970	TCGA.32.1973	TCGA.32.1976	TCGA.32.1977	TCGA.32.1978	TCGA.32.1982	TCGA.32.1986	TCGA.32.1987	TCGA.32.1991	TCGA.32.2491	TCGA.32.2494	TCGA.32.2495	TCGA.32.2615	TCGA.32.2616	TCGA.32.2632	TCGA.32.2634	TCGA.32.2638	TCGA.32.4208	TCGA.32.4209	TCGA.32.4210	TCGA.32.4211	TCGA.32.4213	TCGA.32.4719	TCGA.41.2571	TCGA.41.2572	TCGA.41.2573	TCGA.41.2575	TCGA.41.3392	TCGA.41.3393	TCGA.41.3915	TCGA.41.4097
FSTL1	-0.828262008	0.067779175	-5.078767344	0.865593972	-0.651040295	-6.166970786	-1.755316619	-0.797988223	1.443093724	0.096378385	-0.555111864	-0.217282541	-1.828832635	-5.282172277	1.489675634	-7.175793901	0.826752834	-1.394500407	0.40699102	-2.418869442	0.921901874	0.983427863	0.272968435	0.862379737	0.057194637	0.436769562	-0.664092121	0.035844243	1.03740459	0.477996662	0.746400599	1.61409564	1.310016804	0.884848686	-0.344601768	-0.800351427	0.182999916	0.836239462	0.34946855	0.34079354	-0.296038654	0.670742666	0.162053712	0.327276387	0.369706536	0.496608003	-0.116554476	-1.339775425	-1.306270813	1.099666939	-0.140272324	-0.804207932	0.460364403	1.168335697	-0.017877658	-1.144741477	0.231413937	-0.793575458	0.706285532	1.314953971	-0.113101521	-0.775457093	0.212847214	0.349345132	0.529626717	0.628902491	0.832332186	0.412470814	0.155149162	0.086770691	0.794520868	1.042039446	1.260818905	0.044075604	0.100748014	0.01212602	-0.058239307	0.281008748	0.452268734	-0.244916321	0.391831523	0.209295931	0.639451297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP2	0.722787759	1.19614405	-3.33324846	1.266122534	-3.240478016	-3.722673457	0.45675766	-1.062373769	-4.207643331	1.126339577	0.033761322	-1.090018355	0.10391841	-4.006758622	1.987450035	-4.021760048	1.758253715	-1.799561679	1.451817592	-1.715166984	1.767659047	0.146333127	0.420130614	0.200438245	0.380190572	0.591541685	-1.567776762	1.075786434	1.270035583	0.116291016	0.609458199	0.65209721	0.919737213	1.042747617	-0.980234998	0.551038362	-1.050414142	0.968236165	0.616961475	0.594346901	0.281962075	-0.664649483	-0.392386783	-0.23249038	0.275590721	0.022349292	0.384273601	-0.780170938	-0.489337906	1.278635412	-0.302936675	-0.366638878	0.534560142	-0.690483542	-0.194478591	-1.081315865	0.104286797	0.81406768	0.536097808	1.079908767	-0.229848386	0.636513349	0.94914519	0.565123967	0.718573096	-0.553410315	1.393528727	-0.411512214	-2.912694347	-0.813887866	1.015934627	0.201136238	1.442768132	-0.108604533	0.356295782	-0.322495417	1.148541327	0.296164408	1.070623027	-0.536051944	0.245829706	1.219733471	-0.041627946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD3	-3.315600248	-2.591989656	-3.657979461	-3.023672871	0.377661379	-4.425608393	0.230887281	-4.727949279	-2.175303732	-1.145252633	-2.049794599	-2.852750878	-1.931916976	-4.098599549	-1.180226593	-2.162891841	-3.707590448	-0.968245218	-3.00749754	-4.667787061	-1.523364099	-0.507611303	-0.608504952	0.1137911	-0.007467066	-0.522524345	1.38776674	1.227316841	0.228550619	0.623226995	0.827132318	0.056110746	0.610950281	-0.052450522	1.144617277	-0.090097831	0.426822396	-2.791694189	0.0749069	0.867431064	-0.005328567	0.509753752	0.2526369	-0.450417978	-0.349379583	0.378269064	0.065512325	0.222184921	0.056781111	-0.748666492	1.075999139	-0.411833568	-0.755187138	-0.204111044	-0.125124518	-0.288984584	0.343382404	0.026023159	-0.968393042	-1.384244039	0.687213137	0.977365607	1.077364978	0.755238232	0.016231143	0.649402354	-0.371749218	0.554679677	0.521351071	-1.280027131	-0.831392298	-2.233840518	-0.535581582	0.841228885	-0.122362193	-0.602628644	0.010019769	0.462832911	0.555419176	0.457291892	0.190538668	0.807796463	0.604143454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALYL	-0.899851561	-1.367680032	-0.825237509	-1.309017425	-0.961600736	-1.141209357	-0.142916444	-1.087451704	-1.179377442	-1.202985966	-0.756615591	-0.84695266	-0.700405236	-0.952135915	-1.307734831	-0.690173776	-1.3115235	-0.416227107	-1.23874864	-0.449068395	-1.297690924	-1.171737189	-1.203135319	-1.022275912	1.880503451	-1.417456249	-0.397478404	0.860280734	0.932209824	-1.376069778	0.340479902	0.466521774	1.5131	0.007135255	-1.09599807	0.310933621	0.893905736	-1.573195719	0.60043435	1.58308618	0.210094591	2.221040746	-0.973699327	-1.12792721	-1.156359053	-1.070676766	-0.331775383	0.647940739	0.435405536	-1.159139955	0.263083392	-0.74869903	-0.463162791	0.217471623	-0.503140414	1.210802755	0.608780604	-0.189808407	-0.799743256	-1.31126907	-0.926447772	1.310076896	-0.76982748	-1.044002225	-0.499450768	-0.891708211	-0.80744832	0.689588922	0.165827352	0.221722254	-1.291252763	-1.174829364	-0.903104461	1.406474824	-0.732504572	-0.67192361	-0.783251407	1.16360983	0.735503904	1.951454918	0.25927718	1.700838318	0.518500622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APBB2	-1.52895326	-1.833765449	-2.1663692	-1.592457111	-2.066466385	-0.635605048	1.073325026	-0.575468884	-0.690857946	-0.467041089	-1.403156868	-1.790402444	-1.715472064	-2.630449096	-0.037206968	-1.754479718	-0.716202344	-2.50508175	-1.390680436	-2.051182123	-0.436242078	-0.487654433	1.839085299	0.968165873	1.027563037	0.872074905	0.052548117	1.388191474	-0.407515409	-0.251631975	0.274741899	-0.594840386	-0.800009975	-1.411738381	1.632506302	1.089910898	0.791883511	-0.383154611	0.761617617	0.257030988	1.142732656	0.337164796	-0.513178741	-0.787772941	-0.362259242	0.603058729	0.764067832	0.368736611	1.359601094	-0.958427237	-0.383067482	-1.245413332	-1.806948628	-0.09772	-1.241102691	-1.093221409	-0.855669323	-0.084573408	-1.61331374	-1.302348944	-0.950714319	1.451080864	0.912779665	-0.569967919	0.271545941	0.751852683	-0.606140702	0.160278569	-0.821593116	-1.136506375	-1.208869723	-0.976711	-0.779149597	0.164533762	-0.107131298	-0.577574745	0.512373698	1.28366117	0.978538855	0.158206497	0.62549504	1.636480019	1.114903255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBOX1	-2.731875998	-2.575305824	-2.657071016	-2.729803374	-2.22935933	-2.543332304	-1.691588229	-2.763057033	-2.653977668	-2.631084323	-2.517295425	-2.211302636	-2.601220287	-2.749981726	-1.24107616	-2.699898724	-2.062103962	-2.187186467	0.152953608	-2.649908106	-2.840810952	0.727029307	-2.68782184	0.767021103	-0.565661827	0.368036248	0.504780672	0.781260837	0.525589601	0.359877932	1.051361109	0.642154482	1.032765476	0.859639479	0.76149296	-0.1378331	0.77882025	-3.058012385	-0.641955421	0.414082099	-1.083378343	0.681263833	0.698542051	0.346869997	0.359401197	0.405873992	0.50751422	-0.263740578	-0.487682234	-1.435632399	0.935027696	-0.184960993	-1.278553348	0.487706841	0.4505842	0.083597346	0.347922812	0.274795385	-0.637960771	-0.645825547	0.650554608	-0.929897989	0.662124141	0.546009712	0.416762807	0.684082395	-1.221275264	0.861941454	0.608684585	0.012002779	-1.45714741	-2.627186588	-0.109410488	0.13879857	0.171345073	-0.288174156	0.202231477	0.200254545	-0.136757318	0.826845206	0.216499493	0.789297927	0.649389781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDN1	0.275188859	0.784873564	0.619770765	1.051264004	-0.057335428	1.978870549	-1.309481051	-1.195041597	-0.158616461	3.429499714	2.024331321	1.370336616	1.661948369	-1.212915601	-1.02374686	-0.0418376	2.034140463	-1.166191347	0.156353888	0.358348222	2.429327816	-1.407516095	-1.240825564	1.478505046	-0.016974822	0.294991057	1.843520859	0.240944986	0.450407062	2.06313737	0.275159646	-0.344442899	-0.113207768	0.494923923	0.25198515	-1.353684948	0.35376968	-0.821083681	-1.048819941	0.54446965	0.943420912	2.365587503	-0.92090976	-0.352658349	0.564178376	-0.569357672	0.171599041	-0.704497521	-0.751495639	-0.964086282	-0.887136142	0.094463769	-0.154068689	-0.49102507	-0.192499154	-0.243300789	-0.951735725	-0.368580441	0.921118475	-0.243474032	-0.627790663	-1.497986412	-1.391334922	-0.865558436	-0.875027638	0.01135114	-0.711339659	-1.304923057	-0.787358871	-1.549815874	-1.62726919	-0.836318174	-0.541197717	-0.429331057	-1.041386283	-0.84987029	-0.773749527	0.314769431	1.579303441	0.358621652	0.923033821	-0.422761898	1.264905421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR4	0.081824392	0.841257575	-3.444144484	1.022344123	1.333153112	-0.265015353	-3.093609124	-4.476970107	-0.826814294	0.993826843	-0.361128823	0.893650015	-1.015275016	1.584315694	0.379803348	-3.771226253	0.90650503	1.101140118	0.229572878	1.831501785	0.752612453	1.253304255	-1.252559954	1.468377427	0.889408779	1.725211901	-0.942099907	0.948087579	1.282645778	1.6616995	1.392621897	1.467967067	0.839261398	2.181187849	0.818582594	-2.026618064	-0.304467122	1.085798928	-0.769378938	0.642064066	0.219580765	1.257762206	0.522163984	-0.012334825	0.693138782	0.313481562	-0.929611867	-0.419364211	-1.099547372	1.201616373	0.131178655	-0.234483229	1.207692709	0.060594155	0.696760943	-1.363052495	0.230596032	-0.853912425	1.07604131	-0.655958001	0.193665696	-0.109303224	-0.016963436	-0.351089761	-0.205187722	0.414883049	0.544688154	-0.346457633	0.587574139	0.145624727	0.227277725	-0.261873508	0.403087988	0.015864447	-1.660776669	0.349671285	0.976740063	0.406248639	0.55329556	0.445250094	0.188772605	-0.071877123	0.101938553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL1	-2.186270867	-2.886075803	-2.79801041	-3.031560761	-1.59379096	-2.182575459	-0.011198309	-2.944314434	-0.396657042	-3.081516878	-2.87744676	-2.491015486	-2.576018087	-2.981192219	-0.397027433	-2.767845147	-2.913161047	-2.179597079	-2.562389641	-2.301002751	-3.044391348	-0.31690701	0.681612548	0.754682546	-0.73299943	0.384451102	-0.84573552	0.47754817	0.139779295	0.706356364	0.354468982	0.497733809	0.532674141	-1.110497015	0.627121193	0.390840363	0.262384018	-0.85575259	-0.829788673	0.055423598	0.706139816	1.141566929	0.42843803	0.522666084	0.400213227	0.592482995	0.177558889	-0.347345231	0.74233779	-0.328326832	-0.015218912	-0.755092072	-0.877077431	-0.257642891	-0.557255812	0.038097112	0.097493593	-0.704822408	-0.049113022	-0.635947095	-0.674103165	-0.098156322	0.540804339	0.614263485	0.747483197	0.286298696	-0.057890319	0.436705555	-0.529713958	-1.252660964	-1.694827572	-3.319512445	-0.667468578	-0.939658327	0.53519301	0.188280289	0.673614382	0.073138563	0.621539832	0.888036663	0.778741998	0.956789494	1.043064034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL3	-0.271759971	0.190684166	0.177871187	2.412869384	-0.467457774	-1.012857243	-0.977406783	-0.787710909	1.45522856	3.16346479	2.082748738	2.209174192	2.059784199	-0.258595333	0.203363816	-0.695648427	0.28686149	-0.131256352	1.305139125	-0.179471071	2.368045188	0.858438908	-1.276029218	0.931547022	-0.886690466	0.109821028	-0.488551302	-0.042974382	-0.815207697	0.991884625	-0.38824886	-0.271498722	1.368592121	0.338709915	-0.772034091	-1.050832712	-0.217864536	1.000608074	-1.198404154	0.179649359	-0.98332278	0.073754348	2.313391026	0.723392038	3.414078171	0.417834788	-0.894206263	-0.7745642	-0.778301846	-0.800851563	-0.548925416	0.418331671	2.578468843	2.897271668	0.486318393	-0.164491086	1.933025387	-0.7812971	0.241135813	-0.601318795	0.837797316	-1.083033823	0.902836887	0.192398016	1.916751914	1.063818262	1.573076971	0.387367399	2.044003876	0.899514205	-1.024035449	-0.447629244	-0.454820513	-1.190776509	-0.502802749	-0.408811413	-0.801775985	-0.157679058	-0.277751535	-0.242013562	0.566534934	-0.23502825	-0.723974243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
